ds,y,precipitaciones,temperatura,es_finde,es_semana
2019-01-01T00:00:00Z,3.35698140099313,0,24.9,FALSE,TRUE
2019-01-01T01:00:00Z,3.97261933905962,0,25.3,FALSE,TRUE
2019-01-01T02:00:00Z,4.10751522565147,0,25.3,FALSE,TRUE
2019-01-01T03:00:00Z,3.94428522068875,0,24.9,FALSE,TRUE
2019-01-01T04:00:00Z,3.68690426956818,0,24.2,FALSE,TRUE
2019-01-01T05:00:00Z,3.63888842470508,0,24,FALSE,TRUE
2019-01-01T06:00:00Z,3.63748972951251,0,23.6,FALSE,TRUE
2019-01-01T07:00:00Z,3.56584781867352,0,23.9,FALSE,TRUE
2019-01-01T08:00:00Z,3.51627088272934,0,24.8,FALSE,TRUE
2019-01-01T09:00:00Z,3.52685598712587,0,25.8,FALSE,TRUE
2019-01-01T10:00:00Z,3.65494622658434,0,27.2,FALSE,TRUE
2019-01-01T11:00:00Z,3.84160971216844,0,27.8,FALSE,TRUE
2019-01-01T12:00:00Z,4.02292301187894,0,29,FALSE,TRUE
2019-01-01T13:00:00Z,4.05982838164098,0,30.6,FALSE,TRUE
2019-01-01T14:00:00Z,3.9582771255477,0,30.7,FALSE,TRUE
2019-01-01T15:00:00Z,3.95313122518345,0,31.2,FALSE,TRUE
2019-01-01T16:00:00Z,4.03782475058834,0,32.7,FALSE,TRUE
2019-01-01T17:00:00Z,4.10748131891124,0,32.1,FALSE,TRUE
2019-01-01T18:00:00Z,4.15173748103852,1,29.5,FALSE,TRUE
2019-01-01T19:00:00Z,4.1702323701818,1,29.6,FALSE,TRUE
2019-01-01T20:00:00Z,4.14909589106797,0,29.2,FALSE,TRUE
2019-01-01T21:00:00Z,4.12678057701201,0,28.7,FALSE,TRUE
2019-01-01T22:00:00Z,4.04269361817864,0,28.7,FALSE,TRUE
2019-01-01T23:00:00Z,3.95196858449291,0,28.6,FALSE,TRUE
2019-01-02T00:00:00Z,3.75312324468171,0,27.9,FALSE,TRUE
2019-01-02T01:00:00Z,3.5963771439976,0,27.5,FALSE,TRUE
2019-01-02T02:00:00Z,3.43949059038968,0,27.1,FALSE,TRUE
2019-01-02T03:00:00Z,3.40277706961035,0,26.9,FALSE,TRUE
